,train,val,test
lvUA4X,True,False,False
MDV5Rc,True,False,False
n5fJrF,True,False,False
NhuO23,True,False,False
nk0S5Z,True,False,False
nNdbIt,True,False,False
ONhBJ6,True,False,False
P9Eias,True,False,False
PqOrve,True,False,False
Q8Bnb0,True,False,False
qpRQun,True,False,False
3N2dJL,True,False,False
sA2ZM0,True,False,False
swV0xu,True,False,False
tKzfAR,True,False,False
3OVsha,True,False,False
uTZWMa,True,False,False
wB93H0,True,False,False
whiTGy,True,False,False
wszbI3,True,False,False
3tuv07,True,False,False
XgWwjn,True,False,False
Y9pQCd,True,False,False
3w9WHG,True,False,False
ZAvOai,True,False,False
6kaxlQ,True,False,False
7GzdeM,True,False,False
7WSmJO,True,False,False
A74QTy,True,False,False
brA3nM,True,False,False
1gwBov,True,False,False
dHLDGM,True,False,False
dtbjTH,True,False,False
e5Rni8,True,False,False
EW3Azf,True,False,False
f4a58r,True,False,False
F7XIia,True,False,False
FuCdb9,True,False,False
Gn7rZs,True,False,False
gQZl8x,True,False,False
GVzg7T,True,False,False
Gwpv0C,True,False,False
Ha4WLs,True,False,False
HRolf8,True,False,False
hv8OBd,True,False,False
JGLV34,True,False,False
FIt0oz_Annotation0,True,False,False
sjNL2v_Annotation4,True,False,False
0EtQnY_Annotation0,True,False,False
0EtQnY_Annotation1,True,False,False
0EtQnY_Annotation3,True,False,False
4RvIGs_Annotation1,True,False,False
5ErQmA_Annotation0,True,False,False
bkZz45_Annotation0,True,False,False
bkZz45_Annotation1,True,False,False
E7Fdk3_Annotation0,True,False,False
E7Fdk3_Annotation1,True,False,False
E7Fdk3_Annotation3,True,False,False
E7Fdk3_Annotation4,True,False,False
FaZrEM_Annotation0,True,False,False
gQ9GVs_Annotation0,True,False,False
gQ9GVs_Annotation1,True,False,False
gQ9GVs_Annotation3,True,False,False
j4tpoY_Annotation0,True,False,False
k2vKOR_Annotation0,True,False,False
k2vKOR_Annotation1,True,False,False
ned6fL_Annotation0,True,False,False
ned6fL_Annotation1,True,False,False
ned6fL_Annotation2,True,False,False
QHp8qx_Annotation0,True,False,False
sjNL2v_Annotation0,True,False,False
sjNL2v_Annotation2,True,False,False
sjNL2v_Annotation3,True,False,False
sjNL2v_Annotation5,True,False,False
sjNL2v_Annotation7,True,False,False
sjNL2v_Annotation8,True,False,False
sjNL2v_Annotation9,True,False,False
SlkhJD_Annotation1,True,False,False
SlkhJD_Annotation2,True,False,False
TNoPDe_Annotation0,True,False,False
TNoPDe_Annotation3,True,False,False
TNoPDe_Annotation4,True,False,False
TNoPDe_Annotation5,True,False,False
TNoPDe_Annotation6,True,False,False
v3bgUf_Annotation0,True,False,False
v3bgUf_Annotation1,True,False,False
v3bgUf_Annotation2,True,False,False
v3bgUf_Annotation3,True,False,False
zUVJpv_Annotation0,True,False,False
zUVJpv_Annotation1,True,False,False
jE54pD_Annotation0,True,False,False
mprY6z_Annotation3,True,False,False
0mLlB3_Annotation0,True,False,False
0mLlB3_Annotation1,True,False,False
0mLlB3_Annotation2,True,False,False
7hsLmf_Annotation0,True,False,False
7hsLmf_Annotation1,True,False,False
7syaIe_Annotation0,True,False,False
7syaIe_Annotation1,True,False,False
aYrFpJ_Annotation0,True,False,False
bCG3TP_Annotation0,True,False,False
bCG3TP_Annotation1,True,False,False
Epg8fC_Annotation0,True,False,False
Epg8fC_Annotation1,True,False,False
f83i1F_Annotation0,True,False,False
jE54pD_Annotation1,True,False,False
jS9TPt_Annotation0,True,False,False
jS9TPt_Annotation3,True,False,False
k1F4rf_Annotation0,True,False,False
k1F4rf_Annotation1,True,False,False
k1F4rf_Annotation2,True,False,False
k1F4rf_Annotation3,True,False,False
lOeQc6_Annotation1,True,False,False
lOeQc6_Annotation2,True,False,False
lOeQc6_Annotation3,True,False,False
mprY6z_Annotation0,True,False,False
mprY6z_Annotation1,True,False,False
mprY6z_Annotation2,True,False,False
mprY6z_Annotation4,True,False,False
mzwqO8_Annotation0,True,False,False
NxCwHc_Annotation0,True,False,False
NxCwHc_Annotation2,True,False,False
NxCwHc_Annotation3,True,False,False
ONGwY0_Annotation0,True,False,False
ONGwY0_Annotation1,True,False,False
p6NHOy_Annotation0,True,False,False
qH1GYN_Annotation0,True,False,False
qH1GYN_Annotation1,True,False,False
qH1GYN_Annotation2,True,False,False
sftB1x_Annotation0,True,False,False
w4T7Al_Annotation0,True,False,False
w4T7Al_Annotation1,True,False,False
X9q3Eh_Annotation1,True,False,False
ZsE0Rr_Annotation0,True,False,False
ZsE0Rr_Annotation1,True,False,False
ZSVMWI_Annotation0,True,False,False
ZSVMWI_Annotation1,True,False,False
4NlObP_Annotation0,True,False,False
4NlObP_Annotation1,True,False,False
4NlObP_Annotation2,True,False,False
