,train,val,test
0,4YkgEn,Ha4WLs,nW8hFL
1,lvUA4X,FuCdb9,nNdbIt
2,lwVP6E,3OVsha,7WSmJO
3,MDV5Rc,dHLDGM,hv8OBd
4,n5fJrF,GiN49j,3N2dJL
5,NhuO23,Gn7rZs,tKzfAR
6,nk0S5Z,TNoPDe_Annotation2,0EtQnY_Annotation2
7,ONhBJ6,sjNL2v_Annotation1,zUVJpv_Annotation0
8,P9Eias,5ErQmA_Annotation0,sjNL2v_Annotation0
9,PqOrve,E7Fdk3_Annotation0,TNoPDe_Annotation3
10,Q8Bnb0,sjNL2v_Annotation7,FaZrEM_Annotation0
11,qpRQun,jE54pD_Annotation0,qH1GYN_Annotation3
12,rTctHL,vKMWGS_Annotation0,mprY6z_Annotation3
13,sA2ZM0,w4T7Al_Annotation0,f83i1F_Annotation0
14,swV0xu,lOeQc6_Annotation0,ZSVMWI_Annotation0
15,umZ6Pz,k1F4rf_Annotation1,NxCwHc_Annotation3
16,uTZWMa,jS9TPt_Annotation1,qH1GYN_Annotation0
17,vCzUF4,YxRM16_Annotation1,HWVxb2_Annotation1
18,wB93H0,bwpTxS_Annotation0,iLujYN_Annotation2
19,whiTGy,W2dQEh_Annotation1,90G12W_Annotation0
20,wszbI3,W2dQEh_Annotation0,gocbOa_Annotation0
21,3tuv07,Ct2I6N_Annotation0,k7AVJp_Annotation0
22,XgWwjn,LJ2oh9_Annotation0,oxc1Ep_Annotation2
23,Y9pQCd,4bOMq6_Annotation0,oxc1Ep_Annotation1
24,3w9WHG,Q1fFSt_Annotation3,OWUqoi_Annotation3
25,ZAvOai,Q1fFSt_Annotation1,shXJel_Annotation0
26,ZlMKHL,cUM1B6_Annotation0,dMuni0_Annotation0
27,6kaxlQ,LJ2oh9_Annotation3,ILrv2X_Annotation1
28,7GzdeM,,
29,A74QTy,,
30,brA3nM,,
31,1gwBov,,
32,dtbjTH,,
33,e5Rni8,,
34,EW3Azf,,
35,f4a58r,,
36,F7XIia,,
37,FsPQEn,,
38,gQZl8x,,
39,GVzg7T,,
40,Gwpv0C,,
41,HRolf8,,
42,2afRKJ,,
43,IQuXci,,
44,JGLV34,,
45,JsMnPW,,
46,FIt0oz_Annotation0,,
