,train,val,test
lvUA4X,True,False,False
lwVP6E,True,False,False
MDV5Rc,True,False,False
n5fJrF,True,False,False
nNdbIt,True,False,False
nW8hFL,True,False,False
ONhBJ6,True,False,False
P9Eias,True,False,False
PqOrve,True,False,False
rTctHL,True,False,False
3N2dJL,True,False,False
sA2ZM0,True,False,False
swV0xu,True,False,False
tKzfAR,True,False,False
3OVsha,True,False,False
umZ6Pz,True,False,False
uTZWMa,True,False,False
vCzUF4,True,False,False
wB93H0,True,False,False
whiTGy,True,False,False
wszbI3,True,False,False
3tuv07,True,False,False
XgWwjn,True,False,False
Y9pQCd,True,False,False
3w9WHG,True,False,False
ZAvOai,True,False,False
ZlMKHL,True,False,False
6kaxlQ,True,False,False
7GzdeM,True,False,False
A74QTy,True,False,False
brA3nM,True,False,False
1gwBov,True,False,False
dHLDGM,True,False,False
dtbjTH,True,False,False
e5Rni8,True,False,False
EW3Azf,True,False,False
f4a58r,True,False,False
F7XIia,True,False,False
Gn7rZs,True,False,False
gQZl8x,True,False,False
GVzg7T,True,False,False
Ha4WLs,True,False,False
hv8OBd,True,False,False
2afRKJ,True,False,False
IQuXci,True,False,False
JsMnPW,True,False,False
FIt0oz_Annotation0,True,False,False
sjNL2v_Annotation4,True,False,False
0EtQnY_Annotation0,True,False,False
0EtQnY_Annotation2,True,False,False
0EtQnY_Annotation3,True,False,False
4RvIGs_Annotation0,True,False,False
4RvIGs_Annotation1,True,False,False
4RvIGs_Annotation2,True,False,False
5ErQmA_Annotation0,True,False,False
bkZz45_Annotation0,True,False,False
bkZz45_Annotation1,True,False,False
E7Fdk3_Annotation0,True,False,False
E7Fdk3_Annotation1,True,False,False
E7Fdk3_Annotation2,True,False,False
E7Fdk3_Annotation4,True,False,False
FaZrEM_Annotation0,True,False,False
gQ9GVs_Annotation0,True,False,False
gQ9GVs_Annotation1,True,False,False
gQ9GVs_Annotation3,True,False,False
j4tpoY_Annotation0,True,False,False
k2vKOR_Annotation1,True,False,False
ned6fL_Annotation0,True,False,False
ned6fL_Annotation1,True,False,False
ned6fL_Annotation2,True,False,False
sjNL2v_Annotation1,True,False,False
sjNL2v_Annotation3,True,False,False
sjNL2v_Annotation5,True,False,False
sjNL2v_Annotation6,True,False,False
sjNL2v_Annotation7,True,False,False
sjNL2v_Annotation8,True,False,False
sjNL2v_Annotation9,True,False,False
SlkhJD_Annotation0,True,False,False
SlkhJD_Annotation1,True,False,False
SlkhJD_Annotation2,True,False,False
TNoPDe_Annotation1,True,False,False
TNoPDe_Annotation2,True,False,False
TNoPDe_Annotation3,True,False,False
TNoPDe_Annotation6,True,False,False
v3bgUf_Annotation0,True,False,False
v3bgUf_Annotation1,True,False,False
v3bgUf_Annotation2,True,False,False
v3bgUf_Annotation3,True,False,False
zUVJpv_Annotation0,True,False,False
zUVJpv_Annotation1,True,False,False
jE54pD_Annotation0,True,False,False
mprY6z_Annotation3,True,False,False
0mLlB3_Annotation0,True,False,False
0mLlB3_Annotation1,True,False,False
0mLlB3_Annotation2,True,False,False
7hsLmf_Annotation0,True,False,False
7syaIe_Annotation0,True,False,False
7syaIe_Annotation1,True,False,False
bCG3TP_Annotation1,True,False,False
bCG3TP_Annotation2,True,False,False
Epg8fC_Annotation0,True,False,False
Epg8fC_Annotation1,True,False,False
f83i1F_Annotation0,True,False,False
IxbDhm_Annotation0,True,False,False
jE54pD_Annotation1,True,False,False
jS9TPt_Annotation0,True,False,False
jS9TPt_Annotation1,True,False,False
jS9TPt_Annotation2,True,False,False
jS9TPt_Annotation3,True,False,False
k1F4rf_Annotation0,True,False,False
k1F4rf_Annotation2,True,False,False
k1F4rf_Annotation3,True,False,False
lOeQc6_Annotation1,True,False,False
mprY6z_Annotation0,True,False,False
mprY6z_Annotation1,True,False,False
mprY6z_Annotation4,True,False,False
mzwqO8_Annotation0,True,False,False
NxCwHc_Annotation0,True,False,False
NxCwHc_Annotation1,True,False,False
NxCwHc_Annotation2,True,False,False
NxCwHc_Annotation3,True,False,False
ONGwY0_Annotation0,True,False,False
qH1GYN_Annotation0,True,False,False
qH1GYN_Annotation2,True,False,False
qH1GYN_Annotation3,True,False,False
sftB1x_Annotation0,True,False,False
vKMWGS_Annotation1,True,False,False
w4T7Al_Annotation0,True,False,False
w4T7Al_Annotation1,True,False,False
X9q3Eh_Annotation0,True,False,False
X9q3Eh_Annotation1,True,False,False
Yhd7Ra_Annotation0,True,False,False
ZsE0Rr_Annotation0,True,False,False
ZsE0Rr_Annotation1,True,False,False
ZSVMWI_Annotation0,True,False,False
ZSVMWI_Annotation1,True,False,False
4NlObP_Annotation0,True,False,False
4NlObP_Annotation1,True,False,False
8qeF2g_Annotation0,True,False,False
8qeF2g_Annotation1,True,False,False
8qeF2g_Annotation2,True,False,False
90G12W_Annotation1,True,False,False
A9bd2s_Annotation0,True,False,False
A9bd2s_Annotation1,True,False,False
ANnzHR_Annotation0,True,False,False
ANnzHR_Annotation1,True,False,False
Au0o8g_Annotation0,True,False,False
Au0o8g_Annotation1,True,False,False
bwpTxS_Annotation0,True,False,False
bwpTxS_Annotation1,True,False,False
Ct2I6N_Annotation0,True,False,False
FovBwE_Annotation0,True,False,False
FovBwE_Annotation1,True,False,False
GKPBox_Annotation0,True,False,False
gocbOa_Annotation0,True,False,False
gocbOa_Annotation1,True,False,False
gocbOa_Annotation2,True,False,False
HWVxb2_Annotation1,True,False,False
HWVxb2_Annotation2,True,False,False
i0x1Yw_Annotation0,True,False,False
iLujYN_Annotation0,True,False,False
iLujYN_Annotation1,True,False,False
iLujYN_Annotation2,True,False,False
iLujYN_Annotation3,True,False,False
k2dEAy_Annotation0,True,False,False
k2dEAy_Annotation1,True,False,False
k7AVJp_Annotation0,True,False,False
90G12W_Annotation0,True,False,False
k7AVJp_Annotation1,True,False,False
mfT7JA_Annotation0,True,False,False
mfT7JA_Annotation1,True,False,False
oA7BpV_Annotation0,True,False,False
utPRO6_Annotation0,True,False,False
utPRO6_Annotation1,True,False,False
W2dQEh_Annotation1,True,False,False
XW2bYV_Annotation0,True,False,False
YbNhWS_Annotation1,True,False,False
YxRM16_Annotation1,True,False,False
ZEa8xJ_Annotation0,True,False,False
ZEa8xJ_Annotation1,True,False,False
cvQ0pB_Annotation3,True,False,False
3KbrNI_Annotation0,True,False,False
3KbrNI_Annotation1,True,False,False
3mBlV0_Annotation0,True,False,False
3mBlV0_Annotation1,True,False,False
9EmdcO_Annotation0,True,False,False
9EmdcO_Annotation1,True,False,False
9EmdcO_Annotation2,True,False,False
9EmdcO_Annotation3,True,False,False
9EmdcO_Annotation4,True,False,False
COTaNd_Annotation0,True,False,False
cUM1B6_Annotation0,True,False,False
